Age,Attrition,Travel_Frequently,Travel_Rarely,Non_Travel,DailyRate,Research & Development,Sales,Human Resources,DistanceFromHome,Education,Life Sciences,Medical,Marketing,Technical Degree,EducationOther,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,Sales Executive,Research Scientist,Laboratory Technician,Manufacturing Director,Healthcare Representative,JobSatisfaction,Married,Single,Divorced,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
31,0,0,1,0,182,1,0,0,8,5,1,0,0,0,0,1,1,93,3,4,0,0,0,0,1,2,0,1,0,16422,8847,3,0,11,3,0,9,3,4,3,2,1,0
30,0,0,1,0,1465,1,0,0,1,3,0,1,0,0,0,4,0,63,3,1,0,1,0,0,0,2,1,0,0,3579,9369,0,1,21,4,1,12,2,3,11,9,5,7
43,0,0,1,0,920,1,0,0,3,3,1,0,0,0,0,3,0,96,1,5,0,0,0,0,1,4,1,0,0,19740,18625,3,0,14,3,1,25,2,3,8,7,0,7
47,1,0,0,1,666,1,0,0,29,4,1,0,0,0,0,1,0,88,3,3,0,0,0,0,1,2,1,0,0,11849,10268,1,1,12,3,1,10,2,2,10,7,9,9
47,0,1,0,0,217,0,1,0,3,3,0,1,0,0,0,4,1,49,3,4,1,0,0,0,0,3,0,0,1,13770,10225,9,1,12,3,2,28,2,2,22,2,11,13
29,0,0,1,0,469,0,1,0,10,3,0,1,0,0,0,3,0,42,2,2,1,0,0,0,0,3,0,1,0,5869,23413,9,0,11,3,0,8,2,3,5,2,1,4
30,0,0,1,0,153,1,0,0,8,2,1,0,0,0,0,2,1,73,4,3,0,0,0,0,1,1,1,0,0,11416,17802,0,1,12,3,3,9,4,2,8,7,1,7
48,0,0,1,0,163,0,1,0,2,5,0,0,1,0,0,2,1,37,3,2,1,0,0,0,0,4,1,0,0,4051,19658,2,0,14,3,1,14,2,3,9,7,6,7
41,0,0,1,0,582,1,0,0,28,4,1,0,0,0,0,1,1,60,2,4,0,0,0,1,0,2,1,0,0,13570,5640,0,0,23,4,1,21,3,3,20,7,0,10
45,0,0,1,0,556,1,0,0,25,2,1,0,0,0,0,2,1,93,2,2,0,0,0,1,0,4,1,0,0,5906,23888,0,0,13,3,2,10,2,2,9,8,3,8
30,0,0,1,0,852,1,0,0,1,1,1,0,0,0,0,4,0,55,2,2,0,0,1,0,0,4,1,0,0,5126,15998,1,1,12,3,2,10,1,2,10,8,3,0
41,0,0,0,1,256,0,1,0,10,2,0,1,0,0,0,3,0,40,1,2,1,0,0,0,0,2,0,1,0,6151,22074,1,0,13,3,0,19,4,3,19,2,11,9
35,0,0,1,0,817,1,0,0,1,3,0,1,0,0,0,4,1,60,2,2,0,0,1,0,0,4,1,0,0,5363,10846,0,0,12,3,1,10,0,3,9,7,0,0
51,0,0,1,0,1178,0,1,0,14,2,1,0,0,0,0,3,1,87,3,2,1,0,0,0,0,4,1,0,0,4936,14862,4,0,11,3,1,18,2,2,7,7,0,7
42,0,0,1,0,855,1,0,0,12,3,0,1,0,0,0,2,0,57,3,1,0,0,1,0,0,2,0,0,1,2766,8952,8,0,22,4,3,7,6,2,5,3,0,4
47,0,0,1,0,1180,1,0,0,25,3,0,1,0,0,0,1,0,84,3,3,0,0,0,0,1,3,0,1,0,8633,13084,2,0,23,4,0,25,3,3,17,14,12,11
32,1,0,1,0,1045,0,1,0,4,4,0,1,0,0,0,4,0,32,1,3,1,0,0,0,0,4,1,0,0,10400,25812,1,0,11,3,0,14,2,2,14,8,9,8
54,0,0,1,0,971,1,0,0,1,3,0,1,0,0,0,4,1,54,3,4,0,0,0,0,1,4,0,1,0,17328,5652,6,0,19,3,0,29,3,2,20,7,12,7
28,1,0,1,0,1404,1,0,0,17,3,0,0,0,1,0,3,0,32,2,1,0,0,1,0,0,4,0,0,1,2367,18779,5,0,12,3,1,6,2,2,4,1,0,3
44,0,0,1,0,1099,0,1,0,5,3,0,0,1,0,0,2,0,88,3,5,0,0,0,0,1,2,1,0,0,18213,8751,7,0,11,3,1,26,5,3,22,9,3,10
59,0,0,1,0,1435,0,1,0,25,3,1,0,0,0,0,1,1,99,3,3,1,0,0,0,0,1,0,1,0,7637,2354,7,0,11,3,0,28,3,2,21,16,7,9
33,0,1,0,0,1392,1,0,0,3,4,1,0,0,0,0,4,1,56,3,1,0,1,0,0,0,3,1,0,0,2909,23159,1,1,11,3,0,8,3,3,8,7,3,0
48,0,0,1,0,1236,1,0,0,1,4,1,0,0,0,0,4,1,40,2,4,0,0,0,0,1,1,1,0,0,15402,17997,7,0,11,3,1,21,3,1,3,2,0,2
43,0,0,1,0,1179,0,1,0,2,3,0,1,0,0,0,4,0,73,3,2,1,0,0,0,0,4,1,0,0,7847,6069,1,1,17,3,1,10,3,3,10,9,8,8
28,0,0,1,0,640,1,0,0,1,3,0,0,0,1,0,4,0,84,3,1,0,1,0,0,0,1,0,1,0,2080,4732,2,0,11,3,0,5,2,2,3,2,1,2
44,0,0,1,0,477,1,0,0,7,4,0,1,0,0,0,1,1,42,2,3,0,0,0,0,1,4,1,0,0,10248,2094,3,0,14,3,1,24,4,3,22,6,5,17
47,0,0,1,0,249,0,1,0,2,2,0,0,1,0,0,3,1,35,3,2,1,0,0,0,0,4,1,0,0,4537,17783,0,1,22,4,1,8,2,3,7,6,7,7
58,0,0,1,0,1145,1,0,0,9,3,0,1,0,0,0,2,1,75,2,1,0,1,0,0,0,2,1,0,0,3346,11873,4,1,20,4,1,9,3,2,1,0,0,0
33,1,0,1,0,465,1,0,0,2,2,1,0,0,0,0,1,1,39,3,1,0,0,1,0,0,1,1,0,0,2707,21509,7,0,20,4,0,13,3,4,9,7,1,7
40,0,0,1,0,750,1,0,0,12,3,1,0,0,0,0,2,1,47,3,2,0,0,0,0,1,1,0,0,1,4448,10748,2,0,12,3,1,15,3,3,7,4,7,7
54,0,0,0,1,142,0,0,1,26,3,0,0,0,0,1,4,1,30,4,4,0,0,0,0,1,4,0,1,0,17328,13871,2,1,12,3,0,23,3,3,5,3,4,4
40,0,0,1,0,1492,1,0,0,20,4,0,0,0,1,0,1,0,61,3,3,0,0,0,0,1,4,1,0,0,10322,26542,4,0,20,4,1,14,6,3,11,10,11,1
19,0,0,1,0,645,1,0,0,9,2,1,0,0,0,0,3,0,54,3,1,0,1,0,0,0,1,0,1,0,2552,7172,1,0,25,4,0,1,4,3,1,1,0,0
26,0,0,1,0,1384,1,0,0,3,4,0,1,0,0,0,1,0,82,4,1,0,0,1,0,0,4,1,0,0,4420,13421,1,0,22,4,1,8,2,3,8,7,0,7
33,0,1,0,0,515,1,0,0,1,2,1,0,0,0,0,1,1,98,3,3,0,0,0,0,1,4,0,1,0,13458,15146,1,1,12,3,0,15,1,3,15,14,8,12
41,0,1,0,0,857,1,0,0,10,3,1,0,0,0,0,4,0,91,2,4,0,0,0,0,1,1,0,0,1,17181,12888,4,0,13,3,1,21,2,2,7,6,7,7
36,0,1,0,0,1213,0,0,1,2,1,0,0,0,0,1,2,0,94,2,2,0,0,0,0,1,4,0,1,0,3886,4223,1,0,21,4,0,10,2,2,10,1,0,8
41,0,1,0,0,1018,0,1,0,1,3,0,0,1,0,0,3,1,66,3,2,1,0,0,0,0,1,0,0,1,4103,4297,0,0,17,3,1,10,2,3,9,3,1,7
27,0,0,1,0,511,0,1,0,2,2,0,1,0,0,0,1,1,89,4,2,1,0,0,0,0,3,0,1,0,6500,26997,0,0,14,3,0,9,5,2,8,7,0,7
30,0,0,1,0,330,0,0,1,1,3,1,0,0,0,0,3,0,46,3,1,0,0,0,0,1,3,0,0,1,2064,15428,0,0,21,4,1,6,3,4,5,3,1,3
30,0,0,1,0,231,0,1,0,8,2,0,0,0,0,1,3,0,62,3,3,1,0,0,0,0,3,0,0,1,7264,9977,5,0,11,3,1,10,2,4,8,4,7,7
36,0,1,0,0,688,1,0,0,4,2,1,0,0,0,0,4,1,97,3,2,0,0,0,1,0,2,0,0,1,5131,9192,7,0,13,3,3,18,3,3,4,2,0,2
32,1,0,1,0,515,1,0,0,1,3,1,0,0,0,0,4,0,62,2,1,0,0,1,0,0,3,0,1,0,3730,9571,0,1,14,3,0,4,2,1,3,2,1,2
21,1,1,0,0,756,0,1,0,1,1,0,0,0,1,0,1,1,99,2,1,0,0,0,0,1,2,0,1,0,2174,9150,1,1,11,3,0,3,3,3,3,2,1,2
42,0,1,0,0,1368,1,0,0,28,4,0,0,0,1,0,4,1,88,2,2,0,0,0,0,1,4,1,0,0,4523,4386,0,0,11,3,3,7,4,4,6,5,0,4
45,0,0,1,0,1005,1,0,0,28,2,0,0,0,1,0,4,1,48,2,4,0,0,0,0,1,2,0,1,0,16704,17119,1,0,11,3,0,21,2,3,21,6,8,6
35,0,0,1,0,1276,1,0,0,16,3,1,0,0,0,0,4,0,72,3,3,0,0,0,0,1,3,1,0,0,7632,14295,4,1,12,3,0,10,2,3,8,7,0,0
52,0,1,0,0,890,1,0,0,25,4,0,1,0,0,0,3,1,81,2,4,0,0,0,1,0,4,1,0,0,13826,19028,3,0,22,4,0,31,3,3,9,8,0,0
45,0,0,1,0,1329,1,0,0,2,2,0,0,0,0,1,4,1,59,2,2,0,0,0,1,0,4,0,0,1,5770,5388,1,0,19,3,2,10,3,3,10,7,3,9
41,1,1,0,0,143,0,1,0,4,3,0,0,1,0,0,1,0,56,3,2,1,0,0,0,0,2,0,1,0,9355,9558,1,0,18,3,0,8,5,3,8,7,7,7
35,0,0,1,0,1349,1,0,0,7,2,1,0,0,0,0,3,0,63,2,1,0,0,1,0,0,4,1,0,0,2690,7713,1,0,18,3,1,1,5,2,1,0,0,1
46,0,0,1,0,1003,1,0,0,8,4,1,0,0,0,0,4,1,74,2,2,0,1,0,0,0,1,0,0,1,4615,21029,8,1,23,4,3,19,2,3,16,13,1,7
29,0,1,0,0,806,1,0,0,1,4,1,0,0,0,0,2,0,76,1,1,0,1,0,0,0,4,0,0,1,2720,18959,1,0,18,3,1,10,5,3,10,7,2,8
36,0,0,1,0,1040,1,0,0,3,2,1,0,0,0,0,4,0,79,4,2,0,0,0,0,1,1,0,0,1,6842,26308,6,0,20,4,1,13,3,3,5,4,0,4
25,0,0,1,0,883,0,1,0,26,1,0,1,0,0,0,3,1,32,3,2,1,0,0,0,0,4,0,1,0,6180,22807,1,0,23,4,0,6,5,2,6,5,1,4
41,0,0,1,0,483,1,0,0,6,3,0,1,0,0,0,4,0,95,2,2,0,0,0,1,0,2,0,1,0,6032,10110,6,1,15,3,0,8,3,3,5,4,1,2
30,0,0,1,0,921,1,0,0,1,3,1,0,0,0,0,4,0,38,1,1,0,0,1,0,0,3,1,0,0,3833,24375,3,0,21,4,2,7,2,3,2,2,0,2
36,0,0,1,0,1223,1,0,0,8,3,0,0,0,1,0,3,1,59,3,3,0,0,0,0,1,3,0,0,1,10096,8202,1,0,13,3,3,17,2,3,17,14,12,8
44,0,0,1,0,921,1,0,0,2,3,1,0,0,0,0,3,1,96,4,3,0,0,0,0,1,4,1,0,0,7879,14810,1,1,19,3,1,9,2,3,8,7,6,7
58,0,0,0,1,390,1,0,0,1,4,1,0,0,0,0,4,0,32,1,2,0,0,0,0,1,3,0,0,1,5660,17056,2,1,13,3,1,12,2,3,5,3,1,2
56,0,0,1,0,1369,1,0,0,23,3,1,0,0,0,0,4,0,68,3,4,0,0,0,1,0,2,1,0,0,13402,18235,4,1,12,3,1,33,0,3,19,16,15,9
49,0,1,0,0,636,1,0,0,10,4,1,0,0,0,0,3,1,35,3,5,0,0,0,0,1,1,0,1,0,18665,25594,9,1,11,3,0,22,4,3,3,2,1,2
39,0,0,0,1,439,1,0,0,9,3,1,0,0,0,0,3,0,70,3,2,0,0,1,0,0,2,0,1,0,6782,8770,9,0,15,3,0,9,2,2,5,4,0,3
25,0,0,1,0,1356,0,1,0,10,4,1,0,0,0,0,3,0,57,3,2,1,0,0,0,0,4,0,1,0,4950,20623,0,0,14,3,0,5,4,3,4,3,1,1
33,0,0,1,0,217,0,1,0,10,4,0,0,1,0,0,2,0,43,3,2,1,0,0,0,0,3,0,1,0,5487,10410,1,0,14,3,0,10,2,2,10,4,0,9
26,1,0,1,0,1146,0,1,0,8,3,0,0,0,1,0,4,0,38,2,2,1,0,0,0,0,1,0,1,0,5326,3064,6,0,17,3,0,6,2,2,4,3,1,2
29,0,1,0,0,490,1,0,0,10,3,1,0,0,0,0,4,1,61,3,1,0,1,0,0,0,2,0,0,1,3291,17940,0,0,14,3,2,8,2,2,7,5,1,1
37,0,0,1,0,977,1,0,0,1,3,1,0,0,0,0,4,1,56,2,2,0,0,0,1,0,4,1,0,0,6474,9961,1,0,13,3,1,14,2,2,14,8,3,11
21,1,1,0,0,251,1,0,0,10,2,1,0,0,0,0,1,1,45,2,1,0,0,1,0,0,3,0,1,0,2625,25308,1,0,20,4,0,2,2,1,2,2,2,2
35,0,0,1,0,1224,0,1,0,7,4,1,0,0,0,0,3,1,55,3,2,1,0,0,0,0,4,1,0,0,5204,13586,1,1,11,3,0,10,2,3,10,8,0,9
47,0,0,1,0,1225,0,1,0,2,4,1,0,0,0,0,2,1,47,4,4,0,0,0,0,1,2,0,0,1,15972,21086,6,0,14,3,3,29,2,3,3,2,1,2
31,0,0,1,0,218,0,1,0,7,3,0,0,0,1,0,2,0,100,4,2,1,0,0,0,0,4,1,0,0,6929,12241,4,0,11,3,1,10,3,2,8,7,7,7
41,0,0,1,0,337,0,1,0,8,3,0,0,1,0,0,3,1,54,3,2,1,0,0,0,0,2,1,0,0,4393,26841,5,0,21,4,1,14,3,3,5,4,1,4
40,0,0,1,0,555,1,0,0,2,3,0,1,0,0,0,2,1,78,2,2,0,0,1,0,0,3,1,0,0,3448,13436,6,0,22,4,1,20,3,3,1,0,0,0
29,1,0,1,0,318,1,0,0,8,4,0,0,0,0,1,2,0,77,1,1,0,0,1,0,0,1,1,0,0,2119,4759,1,1,11,3,0,7,4,2,7,7,0,7
30,1,1,0,0,600,0,0,1,8,3,0,0,0,0,1,3,1,66,2,1,0,0,0,0,1,4,0,0,1,2180,9732,6,0,11,3,1,6,0,2,4,2,1,2
29,1,0,1,0,992,1,0,0,1,3,0,0,0,1,0,3,0,85,3,1,0,1,0,0,0,3,0,1,0,2058,19757,0,0,14,3,0,7,1,2,6,2,1,5
50,0,0,1,0,691,1,0,0,2,3,0,1,0,0,0,3,0,64,3,4,0,0,0,0,1,3,1,0,0,17639,6881,5,0,16,3,0,30,3,3,4,3,0,3
28,0,0,1,0,1181,1,0,0,1,3,1,0,0,0,0,3,0,82,3,1,0,1,0,0,0,4,1,0,0,2044,5531,1,0,11,3,1,5,6,4,5,3,0,3
28,0,0,1,0,1217,1,0,0,1,3,0,1,0,0,0,3,1,67,3,1,0,1,0,0,0,1,1,0,0,3591,12719,1,0,25,4,1,3,3,3,3,2,1,2
50,0,1,0,0,1421,1,0,0,2,3,0,1,0,0,0,4,1,30,3,4,0,0,0,0,1,1,1,0,0,17856,9490,2,0,22,4,1,32,3,3,2,2,2,2
35,0,0,0,1,1212,0,1,0,8,2,0,0,1,0,0,3,1,78,2,3,1,0,0,0,0,4,1,0,0,10377,13755,4,1,11,3,1,16,6,2,13,2,4,12
28,0,0,1,0,857,1,0,0,10,3,0,0,0,0,1,3,1,59,3,2,0,1,0,0,0,3,0,1,0,3660,7909,3,0,13,3,0,10,4,4,8,7,1,7
29,0,1,0,0,410,1,0,0,2,1,1,0,0,0,0,4,1,97,3,1,0,0,1,0,0,2,1,0,0,3180,4668,0,0,13,3,3,4,3,3,3,2,0,2
42,0,0,1,0,635,0,1,0,1,1,1,0,0,0,0,2,0,99,3,2,1,0,0,0,0,3,1,0,0,4907,24532,1,0,25,4,0,20,3,3,20,16,11,6
53,0,0,1,0,1282,1,0,0,5,3,0,0,0,0,1,3,1,58,3,5,0,0,0,0,1,3,0,0,1,19094,10735,4,0,11,3,1,26,3,2,14,13,4,8
27,0,1,0,0,591,1,0,0,2,3,0,1,0,0,0,4,0,87,3,1,0,1,0,0,0,4,0,1,0,2580,6297,2,0,13,3,0,6,0,2,4,2,1,2
35,0,1,0,0,944,0,1,0,1,3,0,0,1,0,0,3,1,92,3,3,1,0,0,0,0,3,0,1,0,8789,9096,1,0,14,3,0,10,3,4,10,7,0,8
40,0,1,0,0,1469,1,0,0,9,4,0,1,0,0,0,4,0,35,3,1,0,1,0,0,0,2,0,0,1,3617,25063,8,1,14,3,1,3,2,3,1,1,0,0
40,0,0,1,0,1194,1,0,0,1,3,1,0,0,0,0,3,1,52,3,2,0,0,0,0,1,4,0,0,1,6513,9060,4,0,17,3,1,12,3,3,5,3,0,3
48,0,0,1,0,1469,1,0,0,20,4,0,1,0,0,0,4,0,51,3,1,0,1,0,0,0,3,1,0,0,2259,5543,4,0,17,3,2,13,2,2,0,0,0,0
33,0,0,1,0,1069,1,0,0,1,3,1,0,0,0,0,2,1,42,2,2,0,0,0,0,1,4,0,1,0,6949,12291,0,0,14,3,0,6,3,3,5,0,1,4
30,0,0,1,0,1082,0,1,0,12,3,0,0,0,1,0,2,1,83,3,2,1,0,0,0,0,3,0,1,0,6577,19558,0,0,11,3,0,6,6,3,5,4,4,4
33,0,0,1,0,461,1,0,0,13,1,1,0,0,0,0,2,1,53,3,1,0,1,0,0,0,4,0,1,0,3452,17241,3,0,18,3,0,5,4,3,3,2,0,2
46,0,0,1,0,563,0,1,0,1,4,1,0,0,0,0,4,0,56,4,4,0,0,0,0,1,1,0,1,0,17567,3156,1,0,15,3,0,27,5,1,26,0,0,12
53,0,0,1,0,1436,0,1,0,6,2,0,0,1,0,0,2,0,34,3,2,0,0,0,0,1,3,1,0,0,2306,16047,2,1,20,4,1,13,3,1,7,7,4,5
28,1,0,1,0,529,1,0,0,2,4,1,0,0,0,0,1,0,79,3,1,0,0,1,0,0,3,0,1,0,3485,14935,2,0,11,3,0,5,5,1,0,0,0,0
41,0,0,1,0,427,0,0,1,10,4,0,0,0,0,1,2,0,73,2,5,0,0,0,0,1,4,0,0,1,19141,8861,3,0,15,3,3,23,2,2,21,6,12,6
34,1,1,0,0,296,0,1,0,6,2,0,0,1,0,0,4,1,33,1,1,0,0,0,0,1,3,0,0,1,2351,12253,0,0,16,3,1,3,3,2,2,2,1,0
30,1,1,0,0,109,1,0,0,5,3,0,1,0,0,0,2,1,60,3,1,0,0,1,0,0,2,0,1,0,2422,25725,0,0,17,3,0,4,3,3,3,2,1,2
31,0,0,1,0,1332,1,0,0,11,2,0,1,0,0,0,3,0,80,3,2,0,0,0,0,1,1,1,0,0,6833,17089,1,1,12,3,0,6,2,2,6,5,0,1
39,0,0,1,0,524,1,0,0,18,2,1,0,0,0,0,1,0,32,3,2,0,0,0,1,0,3,0,1,0,4534,13352,0,0,11,3,0,9,6,3,8,7,1,7
32,0,0,1,0,1062,1,0,0,2,3,0,1,0,0,0,3,1,75,3,1,0,0,1,0,0,2,1,0,0,2370,3956,1,0,13,3,1,8,4,3,8,0,0,7
52,0,0,1,0,621,0,1,0,3,4,0,0,1,0,0,3,0,31,2,4,0,0,0,0,1,1,1,0,0,16856,10084,1,0,11,3,0,34,3,4,34,6,1,16
23,0,0,1,0,1309,1,0,0,26,1,1,0,0,0,0,3,0,83,3,1,0,1,0,0,0,4,0,0,1,2904,16092,1,0,12,3,2,4,2,2,4,2,0,2
39,0,0,1,0,117,1,0,0,10,1,0,1,0,0,0,3,0,99,3,4,0,0,0,0,1,1,1,0,0,17068,5355,1,1,14,3,0,21,3,3,21,9,11,10
50,0,0,1,0,1322,1,0,0,28,3,1,0,0,0,0,4,1,43,3,4,0,0,0,0,1,1,1,0,0,16880,22422,4,1,11,3,0,25,2,3,3,2,1,2
38,0,0,1,0,201,1,0,0,10,3,0,1,0,0,0,2,1,99,1,3,0,0,0,0,1,3,1,0,0,13206,3376,3,0,12,3,1,20,3,3,18,16,1,11
33,0,1,0,0,430,0,1,0,7,3,0,1,0,0,0,4,0,54,3,2,1,0,0,0,0,1,1,0,0,4373,17456,0,0,14,3,2,5,2,3,4,3,0,3
33,0,0,1,0,516,1,0,0,8,5,1,0,0,0,0,4,0,69,3,2,0,0,0,0,1,3,0,1,0,6388,22049,2,1,17,3,0,14,6,3,0,0,0,0
46,0,0,1,0,1319,0,1,0,3,3,0,0,0,1,0,1,1,45,4,4,1,0,0,0,0,1,0,0,1,13225,7739,2,0,12,3,1,25,5,3,19,17,2,8
31,1,1,0,0,1445,1,0,0,1,5,1,0,0,0,0,3,1,100,4,3,0,0,0,1,0,2,0,1,0,7446,8931,1,0,11,3,0,10,2,3,10,8,4,7
28,1,0,1,0,1157,1,0,0,2,4,0,1,0,0,0,1,0,84,1,1,0,1,0,0,0,4,1,0,0,3464,24737,5,1,13,3,0,5,4,2,3,2,2,2
58,0,0,1,0,605,0,1,0,21,3,1,0,0,0,0,4,1,72,3,4,0,0,0,0,1,4,1,0,0,17875,11761,4,1,13,3,1,29,2,2,1,0,0,0
